source sentence,answer sentence
"berikut adalah tujuh kota di indonesia yang dianggap paling nyaman untuk ditinggali :",indonesia adalah entitas location
"soal calon presiden itu urusan nanti , yang penting menang dulu lah , kata anis di samarinda , kalimantan timur , selasa (29/10/2013) .",anis adalah entitas person
"soal calon presiden itu urusan nanti , yang penting menang dulu lah , kata anis di samarinda , kalimantan timur , selasa (29/10/2013) .",samarinda adalah entitas location
"soal calon presiden itu urusan nanti , yang penting menang dulu lah , kata anis di samarinda , kalimantan timur , selasa (29/10/2013) .",kalimantan timur adalah entitas location
"kalau itu tanya ppp saja , ujar nasir sambil memasuki ruang rapat konsultasi pimpinan fraksi dan kelompok dpd .",ppp adalah entitas organization
"kalau itu tanya ppp saja , ujar nasir sambil memasuki ruang rapat konsultasi pimpinan fraksi dan kelompok dpd .",nasir adalah entitas person
"jokowi bisa mengatakan mencabut pengaduan dan memaafkan pelakunya , katanya .",jokowi adalah entitas person
"akbar menyebutkan pemerintahan jokowi-jk juga mencanangkan nawa cita atau sembilan agenda perubahan untuk meningkatkan produktivitas dan daya saing rakyat pada tingkat pasa nasional maupun internasional .",akbar adalah entitas person
"ketiga kinerja bank sebagai lembaga intermediasi yakni loan to deposit ratio ldr bank mandiri selain merebut skor tertinggi bank umum nasional , juga memenangkan kategoti bank bumn dan bank terbuka 3 kategori .",bank mandiri adalah entitas organization
"ketiga kinerja bank sebagai lembaga intermediasi yakni loan to deposit ratio ldr bank mandiri selain merebut skor tertinggi bank umum nasional , juga memenangkan kategoti bank bumn dan bank terbuka 3 kategori .",bumn adalah entitas organization
"presiden soesilo bambang yudhoyono menyatakan kekecewaannya atas sikap sejumlah partai koalisinya yang tidak mentaati kesepakatan yang pernah ditekennya .",soesilo bambang yudhoyono adalah entitas person
"serangan yang menewaskan ghul dilancarkan pada minggu (24/8) waktu setempat .",ghul adalah entitas person
"siapapun bisa membantu dengan menyortir gambar ke dalam kategori kota , bintang , atau benda lainnya , kata alejandro sanchez , mahasiswa doktoral di complutense .",alejandro sanchez adalah entitas person
"siapapun bisa membantu dengan menyortir gambar ke dalam kategori kota , bintang , atau benda lainnya , kata alejandro sanchez , mahasiswa doktoral di complutense .",complutense adalah entitas location
"kalau premium sore akan habis besok akan ada lagi kok , silakan beli besok , seru hanung .",hanung adalah entitas person
"partai demokrat memilih posisi berada di luar pemerintahan tapi juga berada di luar koalisi merah putih yang mendukung pasangan prabowo - hatta , kata rachlan nasidik usai diskusi spirit demokrat di jakarta , jumat .",partai demokrat adalah entitas organization
"partai demokrat memilih posisi berada di luar pemerintahan tapi juga berada di luar koalisi merah putih yang mendukung pasangan prabowo - hatta , kata rachlan nasidik usai diskusi spirit demokrat di jakarta , jumat .",koalisi merah putih adalah entitas organization
"partai demokrat memilih posisi berada di luar pemerintahan tapi juga berada di luar koalisi merah putih yang mendukung pasangan prabowo - hatta , kata rachlan nasidik usai diskusi spirit demokrat di jakarta , jumat .",prabowo adalah entitas person
"partai demokrat memilih posisi berada di luar pemerintahan tapi juga berada di luar koalisi merah putih yang mendukung pasangan prabowo - hatta , kata rachlan nasidik usai diskusi spirit demokrat di jakarta , jumat .",hatta adalah entitas person
"partai demokrat memilih posisi berada di luar pemerintahan tapi juga berada di luar koalisi merah putih yang mendukung pasangan prabowo - hatta , kata rachlan nasidik usai diskusi spirit demokrat di jakarta , jumat .",rachlan nasidik adalah entitas person
"partai demokrat memilih posisi berada di luar pemerintahan tapi juga berada di luar koalisi merah putih yang mendukung pasangan prabowo - hatta , kata rachlan nasidik usai diskusi spirit demokrat di jakarta , jumat .",jakarta adalah entitas location
"menurut anggota komisi i itu , ketua umum pdi perjuangan megawati soekarnoputri sebelumnya telah memerintahkan kepada semua kader agar mendukung kebijakan jokowi .",pdi perjuangan adalah entitas organization
"menurut anggota komisi i itu , ketua umum pdi perjuangan megawati soekarnoputri sebelumnya telah memerintahkan kepada semua kader agar mendukung kebijakan jokowi .",megawati soekarnoputri adalah entitas person
"menurut anggota komisi i itu , ketua umum pdi perjuangan megawati soekarnoputri sebelumnya telah memerintahkan kepada semua kader agar mendukung kebijakan jokowi .",jokowi adalah entitas person
"dikatakan jika seluruh aktivitas itu dilakukan bersama wapres boediono di istana negara .",boediono adalah entitas person
"dikatakan jika seluruh aktivitas itu dilakukan bersama wapres boediono di istana negara .",istana negara adalah entitas location
"pemerintah indonesia terus berupaya mempromosikan potensi wisata bahari raja ampat sebagai kawasan konservasi perairan dalam rangka mengembangkan ekonomi kelautan , kata menteri kelautan dan perikanan dalam keterangan tertulis yang diterima di raja ampat , papua barat , minggu .",raja ampat adalah entitas location
"pemerintah indonesia terus berupaya mempromosikan potensi wisata bahari raja ampat sebagai kawasan konservasi perairan dalam rangka mengembangkan ekonomi kelautan , kata menteri kelautan dan perikanan dalam keterangan tertulis yang diterima di raja ampat , papua barat , minggu .",raja ampat adalah entitas location
"pemerintah indonesia terus berupaya mempromosikan potensi wisata bahari raja ampat sebagai kawasan konservasi perairan dalam rangka mengembangkan ekonomi kelautan , kata menteri kelautan dan perikanan dalam keterangan tertulis yang diterima di raja ampat , papua barat , minggu .",papua barat adalah entitas location
"oleh karena ini memang kita tidak perlu mencemaskan penyebaran virus ebola ini di indonesia .",indonesia adalah entitas location
"ruhut mengatakan tak ada ambisi politik tertentu terkait dengan dukungannya kepada calon presiden yang sebelumnya sering dikritiknya itu .",ruhut adalah entitas person
"jurubicara mdc sebelumnya mengatakan polisi telah menggunakan semprotan air dan gas air mata serta memukuli pendukung partai yang ingin menghadiri pawai tersebut yang sebelumnya dijadwalkan dihadiri oleh pemimpin mdc morgan tsangirai .",mdc adalah entitas organization
