Source sentence,Answer sentence
"" Ini lebih mudah daripada yang saya duga , " kata Federer , seperti dilansir Reuters .",Federer adalah entitas tokoh .
"" Ini lebih mudah daripada yang saya duga , " kata Federer , seperti dilansir Reuters .",Reuters adalah entitas organisasi .
"" Menyedihkan kalah di laga seperti ini tapi kami tahu kami harus berpikir bagaimana caranya comeback , " ujar bek Madrid , Pepe , seperti dikutip Football Espana .",Madrid adalah entitas organisasi .
"" Menyedihkan kalah di laga seperti ini tapi kami tahu kami harus berpikir bagaimana caranya comeback , " ujar bek Madrid , Pepe , seperti dikutip Football Espana .",Pepe adalah entitas tokoh .
"" Menyedihkan kalah di laga seperti ini tapi kami tahu kami harus berpikir bagaimana caranya comeback , " ujar bek Madrid , Pepe , seperti dikutip Football Espana .",Football Espana adalah entitas organisasi .
"Mega malah mengkritik wartawan yang selalu menyebutkan Laksamana sebagai mantan orang PDIP .",Mega adalah entitas tokoh .
"Mega malah mengkritik wartawan yang selalu menyebutkan Laksamana sebagai mantan orang PDIP .",PDIP adalah entitas organisasi .
"" Jika kami tidak tampil bagus maka itu akan memudahkan Dortmund .",Dortmund adalah entitas organisasi .
"Kalau Davenport harus menjalani jalanan berbatu kerikil , maka tidak demikian dengan unggulan utama putra Roger Federer .",Davenport adalah entitas tokoh .
"Kalau Davenport harus menjalani jalanan berbatu kerikil , maka tidak demikian dengan unggulan utama putra Roger Federer .",Roger Federer adalah entitas tokoh .
"Pada Senin malam saat kejadian , petugas tower yang berkomunikasi dengan pesawat Batik Air yang akan tinggal landas , menggunakan saluran radio VHF yang tidak dapat didengar oleh petugas towing yang menggunakan Handy Talky ( HT ) dengan saluran frekuensi yang berbeda .",Batik Air adalah entitas organisasi .
"Pasalnya , Federer dan Wawrinka jadi andalan Swiss dalam mencari trofi Piala Davis pertamanya dengan melawan Prancis pada pekan depan .",Federer adalah entitas tokoh .
"Pasalnya , Federer dan Wawrinka jadi andalan Swiss dalam mencari trofi Piala Davis pertamanya dengan melawan Prancis pada pekan depan .",Wawrinka adalah entitas tokoh .
"Pasalnya , Federer dan Wawrinka jadi andalan Swiss dalam mencari trofi Piala Davis pertamanya dengan melawan Prancis pada pekan depan .",Swiss adalah entitas lokasi .
"Pasalnya , Federer dan Wawrinka jadi andalan Swiss dalam mencari trofi Piala Davis pertamanya dengan melawan Prancis pada pekan depan .",Prancis adalah entitas lokasi .
