Source sentence,Answer sentence
"kepala dinas tata kota manado amos kenda menyatakan tidak tahu - menahu soal pencabutan baliho . ia enggan berkomentar banyak karena merasa bukan kewenangannya .",manado adalah entitas lokasi .
"kepala dinas tata kota manado amos kenda menyatakan tidak tahu - menahu soal pencabutan baliho . ia enggan berkomentar banyak karena merasa bukan kewenangannya .",amos kenda adalah entitas tokoh .
"di antara mereka itu mengaku tidak tersinggung dengan ucapan ahok ...",ahok adalah entitas tokoh .
"pasukan pengibar bendera membawa kereta kencana usai latihan upacara pengibaran bendera jelang perayaan hut kemerdekaan ri di monas , gambr , jakarta pusat , minggu ( 13 / 8 ) .",hut adalah entitas event .
"pasukan pengibar bendera membawa kereta kencana usai latihan upacara pengibaran bendera jelang perayaan hut kemerdekaan ri di monas , gambr , jakarta pusat , minggu ( 13 / 8 ) .",monas adalah entitas lokasi .
"pasukan pengibar bendera membawa kereta kencana usai latihan upacara pengibaran bendera jelang perayaan hut kemerdekaan ri di monas , gambr , jakarta pusat , minggu ( 13 / 8 ) .",jakarta pusat adalah entitas lokasi .
"ketika ditanyai mengenai kemungkinan organisasi s. h. i. e. l. d menyadari kehadiran para vigilante ( penegak hukum non-resmi ) dari hells kitchen -- sebuah tempat betulan di kota new york yang menjadi set lokasi serial daredevil , jessica jones , the punisher , luke cage , dan iron fist- - , kepala divisi televisi jeph loeb menjawab , pertanyaan yang bagus .",s. h. i. e. l. d adalah entitas produk .
"ketika ditanyai mengenai kemungkinan organisasi s. h. i. e. l. d menyadari kehadiran para vigilante ( penegak hukum non-resmi ) dari hells kitchen -- sebuah tempat betulan di kota new york yang menjadi set lokasi serial daredevil , jessica jones , the punisher , luke cage , dan iron fist- - , kepala divisi televisi jeph loeb menjawab , pertanyaan yang bagus .",vigilante adalah entitas produk .
"ketika ditanyai mengenai kemungkinan organisasi s. h. i. e. l. d menyadari kehadiran para vigilante ( penegak hukum non-resmi ) dari hells kitchen -- sebuah tempat betulan di kota new york yang menjadi set lokasi serial daredevil , jessica jones , the punisher , luke cage , dan iron fist- - , kepala divisi televisi jeph loeb menjawab , pertanyaan yang bagus .",hells kitchen adalah entitas lokasi .
"ketika ditanyai mengenai kemungkinan organisasi s. h. i. e. l. d menyadari kehadiran para vigilante ( penegak hukum non-resmi ) dari hells kitchen -- sebuah tempat betulan di kota new york yang menjadi set lokasi serial daredevil , jessica jones , the punisher , luke cage , dan iron fist- - , kepala divisi televisi jeph loeb menjawab , pertanyaan yang bagus .",kota new york adalah entitas lokasi .
"ketika ditanyai mengenai kemungkinan organisasi s. h. i. e. l. d menyadari kehadiran para vigilante ( penegak hukum non-resmi ) dari hells kitchen -- sebuah tempat betulan di kota new york yang menjadi set lokasi serial daredevil , jessica jones , the punisher , luke cage , dan iron fist- - , kepala divisi televisi jeph loeb menjawab , pertanyaan yang bagus .",daredevil adalah entitas produk .
"ketika ditanyai mengenai kemungkinan organisasi s. h. i. e. l. d menyadari kehadiran para vigilante ( penegak hukum non-resmi ) dari hells kitchen -- sebuah tempat betulan di kota new york yang menjadi set lokasi serial daredevil , jessica jones , the punisher , luke cage , dan iron fist- - , kepala divisi televisi jeph loeb menjawab , pertanyaan yang bagus .",jessica jones adalah entitas produk .
"ketika ditanyai mengenai kemungkinan organisasi s. h. i. e. l. d menyadari kehadiran para vigilante ( penegak hukum non-resmi ) dari hells kitchen -- sebuah tempat betulan di kota new york yang menjadi set lokasi serial daredevil , jessica jones , the punisher , luke cage , dan iron fist- - , kepala divisi televisi jeph loeb menjawab , pertanyaan yang bagus .",the punisher adalah entitas produk .
