Source sentence,Answer sentence
"Berikut adalah tujuh kota di Indonesia yang dianggap paling nyaman untuk ditinggali :",Indonesia adalah entitas location
"Soal calon presiden itu urusan nanti , yang penting menang dulu lah , kata Anis di Samarinda , Kalimantan Timur , Selasa (29/10/2013) .",Anis adalah entitas person
"Soal calon presiden itu urusan nanti , yang penting menang dulu lah , kata Anis di Samarinda , Kalimantan Timur , Selasa (29/10/2013) .",Samarinda adalah entitas location
"Soal calon presiden itu urusan nanti , yang penting menang dulu lah , kata Anis di Samarinda , Kalimantan Timur , Selasa (29/10/2013) .",Kalimantan Timur adalah entitas location
"Kalau itu tanya PPP saja , ujar Nasir sambil memasuki ruang rapat konsultasi pimpinan fraksi dan kelompok DPD .",PPP adalah entitas organization
"Kalau itu tanya PPP saja , ujar Nasir sambil memasuki ruang rapat konsultasi pimpinan fraksi dan kelompok DPD .",Nasir adalah entitas person
"Jokowi bisa mengatakan mencabut pengaduan dan memaafkan pelakunya , katanya .",Jokowi adalah entitas person
"Akbar menyebutkan pemerintahan Jokowi-JK juga mencanangkan Nawa Cita atau sembilan agenda perubahan untuk meningkatkan produktivitas dan daya saing rakyat pada tingkat pasa nasional maupun internasional .",Akbar adalah entitas person
"Ketiga kinerja bank sebagai lembaga intermediasi yakni Loan to Deposit Ratio LDR Bank Mandiri selain merebut skor tertinggi bank umum nasional , juga memenangkan kategoti bank BUMN dan bank terbuka 3 kategori .",Bank Mandiri adalah entitas organization
"Ketiga kinerja bank sebagai lembaga intermediasi yakni Loan to Deposit Ratio LDR Bank Mandiri selain merebut skor tertinggi bank umum nasional , juga memenangkan kategoti bank BUMN dan bank terbuka 3 kategori .",BUMN adalah entitas organization
"Presiden Soesilo Bambang Yudhoyono menyatakan kekecewaannya atas sikap sejumlah partai koalisinya yang tidak mentaati kesepakatan yang pernah ditekennya .",Soesilo Bambang Yudhoyono adalah entitas person
"Serangan yang menewaskan Ghul dilancarkan pada Minggu (24/8) waktu setempat .",Ghul adalah entitas person
"Siapapun bisa membantu dengan menyortir gambar ke dalam kategori kota , bintang , atau benda lainnya , kata Alejandro Sanchez , mahasiswa doktoral di Complutense .",Alejandro Sanchez adalah entitas person
"Siapapun bisa membantu dengan menyortir gambar ke dalam kategori kota , bintang , atau benda lainnya , kata Alejandro Sanchez , mahasiswa doktoral di Complutense .",Complutense adalah entitas location
"Kalau premium sore akan habis besok akan ada lagi kok , silakan beli besok , seru Hanung .",Hanung adalah entitas person
"Partai Demokrat memilih posisi berada di luar pemerintahan tapi juga berada di luar koalisi merah putih yang mendukung pasangan Prabowo - Hatta , kata Rachlan Nasidik usai diskusi Spirit Demokrat di Jakarta , Jumat .",Partai Demokrat adalah entitas organization
"Partai Demokrat memilih posisi berada di luar pemerintahan tapi juga berada di luar koalisi merah putih yang mendukung pasangan Prabowo - Hatta , kata Rachlan Nasidik usai diskusi Spirit Demokrat di Jakarta , Jumat .",koalisi merah putih adalah entitas organization
"Partai Demokrat memilih posisi berada di luar pemerintahan tapi juga berada di luar koalisi merah putih yang mendukung pasangan Prabowo - Hatta , kata Rachlan Nasidik usai diskusi Spirit Demokrat di Jakarta , Jumat .",Prabowo adalah entitas person
"Partai Demokrat memilih posisi berada di luar pemerintahan tapi juga berada di luar koalisi merah putih yang mendukung pasangan Prabowo - Hatta , kata Rachlan Nasidik usai diskusi Spirit Demokrat di Jakarta , Jumat .",Hatta adalah entitas person
"Partai Demokrat memilih posisi berada di luar pemerintahan tapi juga berada di luar koalisi merah putih yang mendukung pasangan Prabowo - Hatta , kata Rachlan Nasidik usai diskusi Spirit Demokrat di Jakarta , Jumat .",Rachlan Nasidik adalah entitas person
"Partai Demokrat memilih posisi berada di luar pemerintahan tapi juga berada di luar koalisi merah putih yang mendukung pasangan Prabowo - Hatta , kata Rachlan Nasidik usai diskusi Spirit Demokrat di Jakarta , Jumat .",Jakarta adalah entitas location
"Menurut anggota Komisi I itu , Ketua Umum PDI Perjuangan Megawati Soekarnoputri sebelumnya telah memerintahkan kepada semua kader agar mendukung kebijakan Jokowi .",PDI Perjuangan adalah entitas organization
"Menurut anggota Komisi I itu , Ketua Umum PDI Perjuangan Megawati Soekarnoputri sebelumnya telah memerintahkan kepada semua kader agar mendukung kebijakan Jokowi .",Megawati Soekarnoputri adalah entitas person
"Menurut anggota Komisi I itu , Ketua Umum PDI Perjuangan Megawati Soekarnoputri sebelumnya telah memerintahkan kepada semua kader agar mendukung kebijakan Jokowi .",Jokowi adalah entitas person
"Dikatakan jika seluruh aktivitas itu dilakukan bersama Wapres Boediono di Istana Negara .",Boediono adalah entitas person
"Dikatakan jika seluruh aktivitas itu dilakukan bersama Wapres Boediono di Istana Negara .",Istana Negara adalah entitas location
"Pemerintah Indonesia terus berupaya mempromosikan potensi wisata bahari Raja Ampat sebagai kawasan konservasi perairan dalam rangka mengembangkan ekonomi kelautan , kata Menteri Kelautan dan Perikanan dalam keterangan tertulis yang diterima di Raja Ampat , Papua Barat , Minggu .",Raja Ampat adalah entitas location
"Pemerintah Indonesia terus berupaya mempromosikan potensi wisata bahari Raja Ampat sebagai kawasan konservasi perairan dalam rangka mengembangkan ekonomi kelautan , kata Menteri Kelautan dan Perikanan dalam keterangan tertulis yang diterima di Raja Ampat , Papua Barat , Minggu .",Raja Ampat adalah entitas location
"Pemerintah Indonesia terus berupaya mempromosikan potensi wisata bahari Raja Ampat sebagai kawasan konservasi perairan dalam rangka mengembangkan ekonomi kelautan , kata Menteri Kelautan dan Perikanan dalam keterangan tertulis yang diterima di Raja Ampat , Papua Barat , Minggu .",Papua Barat adalah entitas location
