source sentence,answer sentence
eu rejects german call to boycott british lamb .,eu is an organization entity
eu rejects german call to boycott british lamb .,german is an other entity
eu rejects german call to boycott british lamb .,british is an other entity
eu rejects german call to boycott british lamb .,lamb is not a named entity
eu rejects german call to boycott british lamb .,rejects is not a named entity
eu rejects german call to boycott british lamb .,rejects is not a named entity
eu rejects german call to boycott british lamb .,to is not a named entity
peter blackburn,peter blackburn is a person entity
brussels 1996-08-22,brussels is a location entity
the european commission said on thursday it disagreed with german advice to consumers to shun british lamb until scientists determine whether mad cow disease can be transmitted to sheep .,european commission is an organization entity
the european commission said on thursday it disagreed with german advice to consumers to shun british lamb until scientists determine whether mad cow disease can be transmitted to sheep .,german is an other entity
the european commission said on thursday it disagreed with german advice to consumers to shun british lamb until scientists determine whether mad cow disease can be transmitted to sheep .,british is an other entity
the european commission said on thursday it disagreed with german advice to consumers to shun british lamb until scientists determine whether mad cow disease can be transmitted to sheep .,commission said is not a named entity
the european commission said on thursday it disagreed with german advice to consumers to shun british lamb until scientists determine whether mad cow disease can be transmitted to sheep .,shun is not a named entity
the european commission said on thursday it disagreed with german advice to consumers to shun british lamb until scientists determine whether mad cow disease can be transmitted to sheep .,scientists is not a named entity
the european commission said on thursday it disagreed with german advice to consumers to shun british lamb until scientists determine whether mad cow disease can be transmitted to sheep .,advice to is not a named entity
the european commission said on thursday it disagreed with german advice to consumers to shun british lamb until scientists determine whether mad cow disease can be transmitted to sheep .,with is not a named entity
germany 's representative to the european union 's veterinary committee werner zwingmann said on wednesday consumers should buy sheepmeat from countries other than britain until the scientific advice was clearer .,germany is a location entity
germany 's representative to the european union 's veterinary committee werner zwingmann said on wednesday consumers should buy sheepmeat from countries other than britain until the scientific advice was clearer .,european union is an organization entity
germany 's representative to the european union 's veterinary committee werner zwingmann said on wednesday consumers should buy sheepmeat from countries other than britain until the scientific advice was clearer .,werner zwingmann is a person entity
germany 's representative to the european union 's veterinary committee werner zwingmann said on wednesday consumers should buy sheepmeat from countries other than britain until the scientific advice was clearer .,britain is a location entity
germany 's representative to the european union 's veterinary committee werner zwingmann said on wednesday consumers should buy sheepmeat from countries other than britain until the scientific advice was clearer .,scientific advice is not a named entity
germany 's representative to the european union 's veterinary committee werner zwingmann said on wednesday consumers should buy sheepmeat from countries other than britain until the scientific advice was clearer .,the scientific is not a named entity
germany 's representative to the european union 's veterinary committee werner zwingmann said on wednesday consumers should buy sheepmeat from countries other than britain until the scientific advice was clearer .,on is not a named entity
germany 's representative to the european union 's veterinary committee werner zwingmann said on wednesday consumers should buy sheepmeat from countries other than britain until the scientific advice was clearer .,countries other is not a named entity
germany 's representative to the european union 's veterinary committee werner zwingmann said on wednesday consumers should buy sheepmeat from countries other than britain until the scientific advice was clearer .,'s veterinary is not a named entity
""" we do n't support any such recommendation because we do n't see any grounds for it , "" the commission 's chief spokesman nikolaus van der pas told a news briefing .",commission is an organization entity
""" we do n't support any such recommendation because we do n't see any grounds for it , "" the commission 's chief spokesman nikolaus van der pas told a news briefing .",nikolaus van der pas is a person entity
""" we do n't support any such recommendation because we do n't see any grounds for it , "" the commission 's chief spokesman nikolaus van der pas told a news briefing .",", is not a named entity"
